model,baseline,factor,level,n_wins,n_total,win_rate,p_value,significant
OLS_LearnOnly,OLS,Overall,All,891,6075,0.14666666666666667,1.0,False
OLS_LearnOnly,OLS,n_lots,5,437,2025,0.21580246913580248,1.0,False
OLS_LearnOnly,OLS,n_lots,10,205,2025,0.10123456790123457,1.0,False
OLS_LearnOnly,OLS,n_lots,30,249,2025,0.12296296296296297,1.0,False
OLS_LearnOnly,OLS,target_correlation,0.0,104,2025,0.05135802469135802,1.0,False
OLS_LearnOnly,OLS,target_correlation,0.5,329,2025,0.16246913580246913,1.0,False
OLS_LearnOnly,OLS,target_correlation,0.9,458,2025,0.22617283950617284,1.0,False
OLS_LearnOnly,OLS,cv_error,0.01,0,2025,0.0,1.0,False
OLS_LearnOnly,OLS,cv_error,0.1,308,2025,0.15209876543209877,1.0,False
OLS_LearnOnly,OLS,cv_error,0.2,583,2025,0.28790123456790123,1.0,False
OLS_LearnOnly,OLS,learning_rate,0.85,305,2025,0.1506172839506173,1.0,False
OLS_LearnOnly,OLS,learning_rate,0.9,282,2025,0.13925925925925925,1.0,False
OLS_LearnOnly,OLS,learning_rate,0.95,304,2025,0.15012345679012346,1.0,False
OLS_LearnOnly,OLS,rate_effect,0.8,220,2025,0.10864197530864197,1.0,False
OLS_LearnOnly,OLS,rate_effect,0.85,277,2025,0.13679012345679012,1.0,False
OLS_LearnOnly,OLS,rate_effect,0.9,394,2025,0.1945679012345679,1.0,False
PCReg_ConstrainOnly,OLS,Overall,All,3536,6075,0.5820576131687243,7.451004970880842e-38,True
PCReg_ConstrainOnly,OLS,n_lots,5,1327,2025,0.6553086419753087,2.867783167150448e-45,True
PCReg_ConstrainOnly,OLS,n_lots,10,1200,2025,0.5925925925925926,3.885240154733026e-17,True
PCReg_ConstrainOnly,OLS,n_lots,30,1009,2025,0.4982716049382716,0.570548465831441,False
PCReg_ConstrainOnly,OLS,target_correlation,0.0,1261,2025,0.6227160493827161,8.012671399345791e-29,True
PCReg_ConstrainOnly,OLS,target_correlation,0.5,1122,2025,0.554074074074074,6.206064748432581e-07,True
PCReg_ConstrainOnly,OLS,target_correlation,0.9,1153,2025,0.5693827160493827,2.3033667968756057e-10,True
PCReg_ConstrainOnly,OLS,cv_error,0.01,1453,2025,0.7175308641975309,2.7123707336481824e-88,True
PCReg_ConstrainOnly,OLS,cv_error,0.1,1145,2025,0.5654320987654321,2.116968507197766e-09,True
PCReg_ConstrainOnly,OLS,cv_error,0.2,938,2025,0.4632098765432099,0.9995730780388145,False
PCReg_ConstrainOnly,OLS,learning_rate,0.85,1172,2025,0.5787654320987654,7.154536503750471e-13,True
PCReg_ConstrainOnly,OLS,learning_rate,0.9,1155,2025,0.5703703703703704,1.2971265265081107e-10,True
PCReg_ConstrainOnly,OLS,learning_rate,0.95,1209,2025,0.597037037037037,1.182965315807484e-18,True
PCReg_ConstrainOnly,OLS,rate_effect,0.8,1164,2025,0.5748148148148148,8.878303607645436e-12,True
PCReg_ConstrainOnly,OLS,rate_effect,0.85,1170,2025,0.5777777777777777,1.3589216931346249e-12,True
PCReg_ConstrainOnly,OLS,rate_effect,0.9,1202,2025,0.5935802469135802,1.8137540693445907e-17,True
PCReg_CV,OLS,Overall,All,3455,6075,0.568724279835391,4.2354265838072294e-27,True
PCReg_CV,OLS,n_lots,5,1245,2025,0.6148148148148148,1.951625429539811e-25,True
PCReg_CV,OLS,n_lots,10,1169,2025,0.577283950617284,1.8672643261389965e-12,True
PCReg_CV,OLS,n_lots,30,1041,2025,0.5140740740740741,0.106662853905501,False
PCReg_CV,OLS,target_correlation,0.0,1206,2025,0.5955555555555555,3.8580209965926975e-18,True
PCReg_CV,OLS,target_correlation,0.5,1112,2025,0.5491358024691358,5.329944202818202e-06,True
PCReg_CV,OLS,target_correlation,0.9,1137,2025,0.5614814814814815,1.7162614524421734e-08,True
PCReg_CV,OLS,cv_error,0.01,1435,2025,0.7086419753086419,3.6245952387836285e-81,True
PCReg_CV,OLS,cv_error,0.1,1062,2025,0.5244444444444445,0.014698795869100112,True
PCReg_CV,OLS,cv_error,0.2,958,2025,0.4730864197530864,0.9927562969541985,False
PCReg_CV,OLS,learning_rate,0.85,1145,2025,0.5654320987654321,2.116968507197766e-09,True
PCReg_CV,OLS,learning_rate,0.9,1128,2025,0.557037037037037,1.5569446374971413e-07,True
PCReg_CV,OLS,learning_rate,0.95,1182,2025,0.5837037037037037,2.568001264811932e-14,True
PCReg_CV,OLS,rate_effect,0.8,1163,2025,0.5743209876543209,1.2055119583060125e-11,True
PCReg_CV,OLS,rate_effect,0.85,1130,2025,0.5580246913580247,9.668570137034874e-08,True
PCReg_CV,OLS,rate_effect,0.9,1162,2025,0.5738271604938272,1.6336274831505503e-11,True
PCReg_GCV,OLS,Overall,All,3326,6075,0.5474897119341564,7.041946368209769e-14,True
PCReg_GCV,OLS,n_lots,5,1177,2025,0.5812345679012346,1.389691961598861e-13,True
PCReg_GCV,OLS,n_lots,10,1138,2025,0.5619753086419753,1.3302868225010535e-08,True
PCReg_GCV,OLS,n_lots,30,1011,2025,0.49925925925925924,0.5354134499029467,False
PCReg_GCV,OLS,target_correlation,0.0,1144,2025,0.5649382716049383,2.768835589462002e-09,True
PCReg_GCV,OLS,target_correlation,0.5,1079,2025,0.5328395061728395,0.0016717595247935952,True
PCReg_GCV,OLS,target_correlation,0.9,1103,2025,0.5446913580246914,3.134148731326155e-05,True
PCReg_GCV,OLS,cv_error,0.01,1442,2025,0.7120987654320987,6.73432246033692e-84,True
PCReg_GCV,OLS,cv_error,0.1,1015,2025,0.5012345679012346,0.4645865500970533,False
PCReg_GCV,OLS,cv_error,0.2,869,2025,0.4291358024691358,0.999999999927527,False
PCReg_GCV,OLS,learning_rate,0.85,1114,2025,0.5501234567901234,3.5206007037502056e-06,True
PCReg_GCV,OLS,learning_rate,0.9,1087,2025,0.5367901234567901,0.0005005452360960405,True
PCReg_GCV,OLS,learning_rate,0.95,1125,2025,0.5555555555555556,3.135637022996137e-07,True
PCReg_GCV,OLS,rate_effect,0.8,1111,2025,0.548641975308642,6.539247784528454e-06,True
PCReg_GCV,OLS,rate_effect,0.85,1084,2025,0.5353086419753087,0.0007977701705711131,True
PCReg_GCV,OLS,rate_effect,0.9,1131,2025,0.5585185185185185,7.597002707012644e-08,True
PCReg_CV_Wrong,OLS,Overall,All,3439,6075,0.5660905349794239,3.359870338341909e-25,True
PCReg_CV_Wrong,OLS,n_lots,5,1239,2025,0.6118518518518519,3.1696851651406336e-24,True
PCReg_CV_Wrong,OLS,n_lots,10,1161,2025,0.5733333333333334,2.2094032237399074e-11,True
PCReg_CV_Wrong,OLS,n_lots,30,1039,2025,0.5130864197530864,0.1239282406547363,False
PCReg_CV_Wrong,OLS,target_correlation,0.0,1190,2025,0.5876543209876544,1.552688710185596e-15,True
PCReg_CV_Wrong,OLS,target_correlation,0.5,1115,2025,0.5506172839506173,2.8530841990297688e-06,True
PCReg_CV_Wrong,OLS,target_correlation,0.9,1134,2025,0.56,3.6426500035313034e-08,True
PCReg_CV_Wrong,OLS,cv_error,0.01,1430,2025,0.7061728395061728,3.0119882423447645e-79,True
PCReg_CV_Wrong,OLS,cv_error,0.1,1062,2025,0.5244444444444445,0.014698795869100112,True
PCReg_CV_Wrong,OLS,cv_error,0.2,947,2025,0.4676543209876543,0.9983282404752064,False
PCReg_CV_Wrong,OLS,learning_rate,0.85,1137,2025,0.5614814814814815,1.7162614524421734e-08,True
PCReg_CV_Wrong,OLS,learning_rate,0.9,1119,2025,0.5525925925925926,1.2071506403924549e-06,True
PCReg_CV_Wrong,OLS,learning_rate,0.95,1183,2025,0.5841975308641976,1.8210689281301296e-14,True
PCReg_CV_Wrong,OLS,rate_effect,0.8,1158,2025,0.5718518518518518,5.4011742696931545e-11,True
PCReg_CV_Wrong,OLS,rate_effect,0.85,1131,2025,0.5585185185185185,7.597002707012644e-08,True
PCReg_CV_Wrong,OLS,rate_effect,0.9,1150,2025,0.5679012345679012,5.370576378715753e-10,True
